date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:34	1051/1051	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Feb%202022%2015:37:57%20GMT	https://fabacademy.org/robots.txt		(from )
12:39:34	25355/25355	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:37:57%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/index.html	(from )
12:39:35	148/148	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2002%20Feb%202022%2015:37:58%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/images/favicon.svg	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/images/favicon.svg	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:35	134578/134578	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:37:58%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/stylesheets/main.2b4465f4.min.css	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/stylesheets/main.2b4465f4.min.css	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:35	10622/10622	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2015:37:58%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/stylesheets/palette.e6a45f82.min.css	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/stylesheets/palette.e6a45f82.min.css	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:36	25355/25355	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:37:59%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/.	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:36	25359/25359	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:37:59%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/about/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/about/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:37	133412/133412	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Feb%202022%2015:37:59%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/images/week01/assignment-photo.jpg	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/images/week01/assignment-photo.jpg	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:39:38	105106/105106	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Feb%202022%2015:38:00%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/javascripts/bundle.960e086b.min.js	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assets/javascripts/bundle.960e086b.min.js	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:15	22577/22577	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:00%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/about/agreement/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/about/agreement/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:16	30582/30582	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:00%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week01/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week01/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:16	31690/31690	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:00%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/projects/final-project/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/projects/final-project/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:17	29384/29384	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:02%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week02/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week02/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:55	29405/29405	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:39%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week03/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week03/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:55	29443/29443	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:40%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week04/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week04/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:55	29424/29424	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:40%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week05/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week05/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:40:57	29416/29416	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:38:41%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week06/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week06/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:41:34	29400/29400	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:19%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week07/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week07/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:41:35	29447/29447	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:19%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week08/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week08/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:41:35	29406/29406	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:19%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week09/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week09/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:41:36	29376/29376	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:21%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week10/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week10/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:13	29336/29336	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:58%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week11/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week11/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:14	29361/29361	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:59%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week12/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week12/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:14	29468/29468	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:39:59%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week13/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week13/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:14	29474/29474	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:40:00%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week14/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week14/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:15	29430/29430	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:40:37%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week15/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week15/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:15	8222/8222	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Feb%202022%2015:40:38%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/images/avatar-photo.jpg	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/images/avatar-photo.jpg	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/about/)
12:42:15	29500/29500	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:40:38%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week16/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week16/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
12:42:15	29384/29384	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Feb%202022%2015:40:38%20GMT	https://fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week18/	C:/Users/USER/Desktop/RTYUJIK/fabacademy.org/2022/labs/cidi/students/jorge-roig/assignments/week18/index.html	(from https://fabacademy.org/2022/labs/cidi/students/jorge-roig/)
